id,season,property_price,sell_price
9262800171,winter,252000.0,277200.0
3353401710,summer,227950.0,296335.0
7967200060,summer,243000.0,267300.0
5066400483,fall,249900.0,274890.0
3353400860,summer,249900.0,274890.0
5402100045,winter,189950.0,246935.0
5556800260,winter,230000.0,253000.00000000003
303000445,spring,175000.0,227500.0
3750605349,winter,210500.0,273650.0
2721049059,spring,225000.0,292500.0
7585000110,winter,201700.0,262210.0
1311000600,summer,250000.0,275000.0
3751603173,spring,212500.0,276250.0
1312200080,spring,224000.0,291200.0
1311500020,summer,198000.0,257400.0
9262800294,summer,260000.0,286000.0
6085000130,winter,230000.0,253000.00000000003
2214800630,fall,239950.0,263945.0
3751605432,spring,239950.0,263945.0
321049090,spring,254000.0,279400.0
4012800050,spring,175000.0,227500.0
6143600580,spring,184000.0,239200.0
4031700210,fall,220000.0,286000.0
1311400120,summer,160000.0,208000.0
3750605620,winter,225000.0,292500.0
1311910300,winter,260000.0,286000.0
4463400195,summer,170000.0,221000.0
5706600150,spring,215000.0,279500.0
5066400564,summer,199129.0,258867.7
3750603940,summer,240000.0,264000.0
302000375,spring,250000.0,275000.0
2730000070,summer,225000.0,292500.0
3353402400,winter,124500.0,161850.0
3750603471,winter,239950.0,263945.0
1311900240,fall,226500.0,294450.0
7696610270,fall,238000.0,261800.00000000003
1311800560,fall,209000.0,271700.0
3751601171,fall,229500.0,252450.00000000003
3750605247,summer,255000.0,280500.0
7905400160,winter,246900.0,271590.0
3750600566,fall,199950.0,259935.0
5530000030,winter,233000.0,256300.00000000003
2730000270,winter,178500.0,232050.0
1311000270,spring,247000.0,271700.0
4031000520,fall,227000.0,295100.0
8856001090,winter,185900.0,241670.0
1311400350,fall,235000.0,258500.00000000003
3750603492,summer,185000.0,240500.0
3751604895,spring,165000.0,214500.0
7905400040,summer,206000.0,267800.0
3599600150,summer,201000.0,261300.0
1021049057,fall,207000.0,269100.0
4013800206,summer,199000.0,258700.0
9543000205,spring,139950.0,181935.0
8159610150,fall,234950.0,258445.00000000003
3353402390,spring,171500.0,222950.0
3422049158,summer,246000.0,270600.0
6143600555,spring,229950.0,252945.00000000003
3750603685,summer,250000.0,275000.0
3353400840,fall,230000.0,253000.00000000003
3751602249,winter,205000.0,266500.0
321049193,fall,215000.0,279500.0
3751600430,fall,250000.0,275000.0
9543000896,summer,237000.0,260700.00000000003
7696500280,fall,182500.0,237250.0
7696630080,spring,197000.0,256100.0
4031000460,spring,199500.0,259350.0
1521049156,fall,255000.0,280500.0
3322049095,winter,240000.0,264000.0
8856003525,winter,183500.0,238550.0
7696620100,spring,254999.0,280498.9
3356402020,spring,230000.0,253000.00000000003
8856004415,winter,168000.0,218400.0
3356403400,summer,159000.0,206700.0
3353401340,winter,199900.0,259870.0
9262800171,winter,252000.0,277200.0
3353401710,summer,227950.0,250745.00000000003
7967200060,summer,243000.0,267300.0
5066400483,fall,249900.0,274890.0
3353400860,summer,249900.0,274890.0
5402100045,winter,189950.0,246935.0
5556800260,winter,230000.0,253000.00000000003
303000445,spring,175000.0,227500.0
3750605349,winter,210500.0,273650.0
2721049059,spring,225000.0,247500.00000000003
7585000110,winter,201700.0,262210.0
1311000600,summer,250000.0,275000.0
3751603173,spring,212500.0,276250.0
1312200080,spring,224000.0,246400.00000000003
1311500020,summer,198000.0,257400.0
